Name,Arcs,Date,Events,Order,Part,Product,Solutions,Status,📁 Characters,📁 Location
Introduce James and Ghost Adelle,James haunted by ghost Adelle (Arcs/James%20haunted%20by%20ghost%20Adelle%204139fefeada2460497af5bdb5b7417ab.md),,,1005,Part 1 (TWOLD%20scenes%20by%20part/Parts%20database/Part%201%2045e34e3cf3814d31b30c871d3a488155.md),TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,Yes,"James (../Data/Characters/James%2014f6a0f77a694f4cb18881bb58846c94.md), Ghost Adelle (../Data/Characters/Ghost%20Adelle%2054de858f71bc4719b9984a4b2a6d3761.md)",The Wilderness (../Data/Locations/The%20Wilderness%20e54012bfd6544f37968a4e9899f53ca0.md)
Introduce Nivana and Adelle,,,,1010,Part 1 (TWOLD%20scenes%20by%20part/Parts%20database/Part%201%2045e34e3cf3814d31b30c871d3a488155.md),TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),"Defer revealing Adelle’s name (../Solutions/Defer%20revealing%20Adelle%E2%80%99s%20name%2028258e628ba280aca5c4f3a1e156b954.md), Adelle as a maid (../Solutions/Adelle%20as%20a%20maid%20e44bfe4304c44cfca11e22c29d2a08dd.md)",Yes,"Adelle (../Data/Characters/Adelle%202ff1980fd10b42a7bc0f65b61a2ab3e8.md), Nivana (../Data/Characters/Nivana%20a2ee9cd0a28b4945af74fd3022fd97af.md)",The Mediev Manor (../Data/Locations/The%20Mediev%20Manor%20fce4035f71ef4c3093c8a80f66a345a4.md)
Adelle struggles with contentment,,,,2000,Part 1 (TWOLD%20scenes%20by%20part/Parts%20database/Part%201%2045e34e3cf3814d31b30c871d3a488155.md),TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,Yes,Adelle (../Data/Characters/Adelle%202ff1980fd10b42a7bc0f65b61a2ab3e8.md),The Mediev Manor (../Data/Locations/The%20Mediev%20Manor%20fce4035f71ef4c3093c8a80f66a345a4.md)
James and Adelle family dinner,,,,4000,Part 1 (TWOLD%20scenes%20by%20part/Parts%20database/Part%201%2045e34e3cf3814d31b30c871d3a488155.md),TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),Friends and family dining together (../Solutions/Friends%20and%20family%20dining%20together%20841883629b3544f182d9ec275e8afecd.md),Yes,"Adelle (../Data/Characters/Adelle%202ff1980fd10b42a7bc0f65b61a2ab3e8.md), The Nurse (../Data/Characters/The%20Nurse%20ae7cf88e2f574b81aa0e515dc0b8a1e5.md), Drenodir (../Data/Characters/Drenodir%20940bfbf595f74f91ad51de93d77ffd66.md)",The Nameless City (../Data/Locations/The%20Nameless%20City%202639e47762d1483c9c8619c59575b713.md)
James and Adelle meet,James and Adelle reunited (Arcs/James%20and%20Adelle%20reunited%20235f77e3ed9f451cbc2aeed09437bd3d.md),,,5000,Part 1 (TWOLD%20scenes%20by%20part/Parts%20database/Part%201%2045e34e3cf3814d31b30c871d3a488155.md),TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,Yes,"James (../Data/Characters/James%2014f6a0f77a694f4cb18881bb58846c94.md), Adelle (../Data/Characters/Adelle%202ff1980fd10b42a7bc0f65b61a2ab3e8.md)",The Nameless City (../Data/Locations/The%20Nameless%20City%202639e47762d1483c9c8619c59575b713.md)
James and Adelle awake in the Asylum,,,,1105,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,Yes,"James (../Data/Characters/James%2014f6a0f77a694f4cb18881bb58846c94.md), Adelle (../Data/Characters/Adelle%202ff1980fd10b42a7bc0f65b61a2ab3e8.md)",The Asylum (../Data/Locations/The%20Asylum%2084234f68b64e4530836706622d4bde1b.md)
Adelle paints cell walls,,,,1125,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,Yes,Adelle (../Data/Characters/Adelle%202ff1980fd10b42a7bc0f65b61a2ab3e8.md),The Asylum (../Data/Locations/The%20Asylum%2084234f68b64e4530836706622d4bde1b.md)
Adelle discovers her ghost,James haunted by ghost Adelle (Arcs/James%20haunted%20by%20ghost%20Adelle%204139fefeada2460497af5bdb5b7417ab.md),,,13100,Part 3 (TWOLD%20scenes%20by%20part/Parts%20database/Part%203%2075fd2f24c9834f26bf31117ee6d9f193.md),TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,Yes,"Adelle (../Data/Characters/Adelle%202ff1980fd10b42a7bc0f65b61a2ab3e8.md), Ghost Adelle (../Data/Characters/Ghost%20Adelle%2054de858f71bc4719b9984a4b2a6d3761.md)",James and Adelle’s house (../Data/Locations/James%20and%20Adelle%E2%80%99s%20house%203fb505ce876a4e73a931c88e1e3d3c5f.md)
Samantha visits Adelle in the Asylum and helps clean,,,,1120,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),Friends visiting (../Solutions/Friends%20visiting%20598a0a293c2a492598b4b8ac2faffeb2.md),Yes,"Adelle (../Data/Characters/Adelle%202ff1980fd10b42a7bc0f65b61a2ab3e8.md), Samantha (../Data/Characters/Samantha%20763765b8b4e341f3b0b51f37f8d7c021.md)",The Asylum (../Data/Locations/The%20Asylum%2084234f68b64e4530836706622d4bde1b.md)
James and Adelle move into a house,,,,1305,Part 4 (TWOLD%20scenes%20by%20part/Parts%20database/Part%204%209c4da0e83a8344fc9244f045878f1604.md),TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,Yes,"Adelle (../Data/Characters/Adelle%202ff1980fd10b42a7bc0f65b61a2ab3e8.md), James (../Data/Characters/James%2014f6a0f77a694f4cb18881bb58846c94.md)",James and Adelle’s house (../Data/Locations/James%20and%20Adelle%E2%80%99s%20house%203fb505ce876a4e73a931c88e1e3d3c5f.md)
