Name,Children,Events,Features,Parents,Priority,Products,Scenes,🌌 Scenes
Tale of two cities,The Asylum spanning two cities (../Solutions/The%20Asylum%20spanning%20two%20cities%202aa58e628ba280e6b826de187769f3e3.md),,,,Medium,"A Child’s Fairytale World (../Data/Products/A%20Child%E2%80%99s%20Fairytale%20World%20c368a02eabb74a47ab322615f2769723.md), TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md)",,
Magic as a resource,,,,,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Magic mind screw,,,,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Making everywhere home,,,"Injected stability (../Features/Injected%20stability%2054190f7026bf4beb96bc5ef39de248ee.md), Feminine duties (../Features/Feminine%20duties%20dda5bbf7da044e799df53801b873a5c6.md)",,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),"Adelle paints cell walls (../Scenes/Adelle%20paints%20cell%20walls%20fcc91b19e8154365857d8861cd72f6e9.md), Samantha visits Adelle in the Asylum and helps clean (../Scenes/Samantha%20visits%20Adelle%20in%20the%20Asylum%20and%20helps%20cle%20b5ecb1c1a30a4c95bbb70083217c7eb9.md)",The dolls host dinner in their new house (../Scenes/The%20dolls%20host%20dinner%20in%20their%20new%20house%202bb58e628ba2800c9cbce80846d22c11.md)
Adelle as a maid,,,"God empowering sinners to do good (../Features/God%20empowering%20sinners%20to%20do%20good%2018236bbd62364cc68f1a9941f4b51f18.md), Condescension (../Features/Condescension%2067c614aebb6f4e749b434829a49bf624.md)",Adelle jobs (../Solutions/Adelle%20jobs%2027e58e628ba280cfa819e0af62452435.md),Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),"Introduce Nivana and Adelle (../Scenes/Introduce%20Nivana%20and%20Adelle%2090a5c6953ff5423ba7cc1a40c8540322.md), Adelle struggles with contentment (../Scenes/Adelle%20struggles%20with%20contentment%20ad003084367d4c8893785b7795c9245c.md)",Introduce Nivana and Adelle (../Scenes/Introduce%20Nivana%20and%20Adelle%2090a5c6953ff5423ba7cc1a40c8540322.md)
Friends and family dining together,,,Cozy horror (../Features/Cozy%20horror%20e5cc80dc61ed4c629951cdf472b20b7a.md),,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),James and Adelle family dinner (../Scenes/James%20and%20Adelle%20family%20dinner%201ca94ee2b5b04f60b37a12acd1e5d2f4.md),James and Adelle family dinner (../Scenes/James%20and%20Adelle%20family%20dinner%201ca94ee2b5b04f60b37a12acd1e5d2f4.md)
Suffering softened by marriage,,,A wholesome marriage is beautiful (../Features/A%20wholesome%20marriage%20is%20beautiful%20729f8c8cb3774419a3611b8961a5da02.md),,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),James and Adelle awake in the Asylum (../Scenes/James%20and%20Adelle%20awake%20in%20the%20Asylum%20da14b0816fa74be58f747b6764fb82ef.md),
Friends visiting,,,Community (../Features/Community%20c80ee480543c42eda65e330b6d1c6d9b.md),,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),Samantha visits Adelle in the Asylum and helps clean (../Scenes/Samantha%20visits%20Adelle%20in%20the%20Asylum%20and%20helps%20cle%20b5ecb1c1a30a4c95bbb70083217c7eb9.md),Samantha visits Adelle in the Asylum and helps clean (../Scenes/Samantha%20visits%20Adelle%20in%20the%20Asylum%20and%20helps%20cle%20b5ecb1c1a30a4c95bbb70083217c7eb9.md)
Adelle and Nivana friendship,,,,,Consideration,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),"Introduce Nivana and Adelle (../Scenes/Introduce%20Nivana%20and%20Adelle%2090a5c6953ff5423ba7cc1a40c8540322.md), Adelle finds Nivana in the Asylum (../Scenes/Adelle%20finds%20Nivana%20in%20the%20Asylum%20543f59b84b3b4fedb40806663e785071.md), Nivana jealous of Adelle’s fortune (../Scenes/Nivana%20jealous%20of%20Adelle%E2%80%99s%20fortune%208dc41b560cee4606a10b9ef417193dc2.md), Adelle and James resolve to help Nivana (../Scenes/Adelle%20and%20James%20resolve%20to%20help%20Nivana%202bb9f6c4c9b84a31b6d676d75119fabc.md), Drenodir provides Nivana shelter (../Scenes/Drenodir%20provides%20Nivana%20shelter%2074ce324df8a54f3b9a75f657edb11a12.md), Nivana and Adelle quarrel (../Scenes/Nivana%20and%20Adelle%20quarrel%200a96768c45b34fca82e219c465abd5f8.md)",
Government dependent on unscrupulous businesses,,,Dependency (../Features/Dependency%20f8d48d2c02f44f60a17266d67d4d045f.md),,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
