Name,📁 Characters,📁 Location,Order,Part,Solutions
James and Adelle awake in the Asylum,"James (../Data/Characters/James%2014f6a0f77a694f4cb18881bb58846c94.md), Adelle (../Data/Characters/Adelle%202ff1980fd10b42a7bc0f65b61a2ab3e8.md)",The Asylum (../Data/Locations/The%20Asylum%2084234f68b64e4530836706622d4bde1b.md),1105,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),
James and Adelle meet the Bear,"James (../Data/Characters/James%2014f6a0f77a694f4cb18881bb58846c94.md), Adelle (../Data/Characters/Adelle%202ff1980fd10b42a7bc0f65b61a2ab3e8.md), The Bear (../Data/Characters/The%20Bear%2095e68e70d28b409281fa2b931537bb79.md)",The Asylum (../Data/Locations/The%20Asylum%2084234f68b64e4530836706622d4bde1b.md),1110,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),
Meeting for Asylum contract,"James (../Data/Characters/James%2014f6a0f77a694f4cb18881bb58846c94.md), The Bear (../Data/Characters/The%20Bear%2095e68e70d28b409281fa2b931537bb79.md), Asylum Administrator (../Data/Characters/Asylum%20Administrator%20a4c019f71ebb4c9a92d7d3aeff5083bb.md), Grihulone (../Data/Characters/Grihulone%202d91344ae15949058912e3cfbfb76a83.md)",The Asylum (../Data/Locations/The%20Asylum%2084234f68b64e4530836706622d4bde1b.md),1115,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),Initially shroud the Asylum job in mystery (../Solutions/Initially%20shroud%20the%20Asylum%20job%20in%20mystery%201d958e628ba2805a96a9f094a30740bb.md)
Samantha visits Adelle in the Asylum and helps clean,"Adelle (../Data/Characters/Adelle%202ff1980fd10b42a7bc0f65b61a2ab3e8.md), Samantha (../Data/Characters/Samantha%20763765b8b4e341f3b0b51f37f8d7c021.md)",The Asylum (../Data/Locations/The%20Asylum%2084234f68b64e4530836706622d4bde1b.md),1120,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),Friends visiting (../Solutions/Friends%20visiting%20598a0a293c2a492598b4b8ac2faffeb2.md)
James examines the mad magic machine,James (../Data/Characters/James%2014f6a0f77a694f4cb18881bb58846c94.md),The Asylum (../Data/Locations/The%20Asylum%2084234f68b64e4530836706622d4bde1b.md),1123,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),
Adelle paints cell walls,Adelle (../Data/Characters/Adelle%202ff1980fd10b42a7bc0f65b61a2ab3e8.md),The Asylum (../Data/Locations/The%20Asylum%2084234f68b64e4530836706622d4bde1b.md),1125,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),
Adelle is examined for madness,Adelle (../Data/Characters/Adelle%202ff1980fd10b42a7bc0f65b61a2ab3e8.md),The Asylum (../Data/Locations/The%20Asylum%2084234f68b64e4530836706622d4bde1b.md),1130,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),
James and Adelle explore the New Asylum,"James (../Data/Characters/James%2014f6a0f77a694f4cb18881bb58846c94.md), Adelle (../Data/Characters/Adelle%202ff1980fd10b42a7bc0f65b61a2ab3e8.md)",The Asylum (../Data/Locations/The%20Asylum%2084234f68b64e4530836706622d4bde1b.md),1130,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),
A woman is driven from the Asylum for being sane,Adelle (../Data/Characters/Adelle%202ff1980fd10b42a7bc0f65b61a2ab3e8.md),The Asylum (../Data/Locations/The%20Asylum%2084234f68b64e4530836706622d4bde1b.md),1135,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),
Nivana seeks out magic lessons,,Desa's tower (../Data/Locations/Desa's%20tower%2058a9d188f7954a94bca7f27ef582952d.md),1140,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),
James and Adelle have dinner in the Asylum,"James (../Data/Characters/James%2014f6a0f77a694f4cb18881bb58846c94.md), Adelle (../Data/Characters/Adelle%202ff1980fd10b42a7bc0f65b61a2ab3e8.md)",The Asylum (../Data/Locations/The%20Asylum%2084234f68b64e4530836706622d4bde1b.md),1150,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),
Nivana realizes the Matron was once human,"Nivana (../Data/Characters/Nivana%20a2ee9cd0a28b4945af74fd3022fd97af.md), The Matron (../Data/Characters/The%20Matron%20b0f3c553544944f48857e06b95ed57af.md)",,1150,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),Corruption of the Matron (../Solutions/Corruption%20of%20the%20Matron%2028258e628ba2802b8fcee19250ceaeea.md)
Drenodir provides Nivana shelter,Nivana (../Data/Characters/Nivana%20a2ee9cd0a28b4945af74fd3022fd97af.md),,1195,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),
Adelle finds Nivana in the Asylum,"Adelle (../Data/Characters/Adelle%202ff1980fd10b42a7bc0f65b61a2ab3e8.md), Nivana (../Data/Characters/Nivana%20a2ee9cd0a28b4945af74fd3022fd97af.md)",The Asylum (../Data/Locations/The%20Asylum%2084234f68b64e4530836706622d4bde1b.md),1250,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),
